"REGIONE","CITTA","VIE FITTIZIE"
"ABRUZZO","L'Aquila","Via della Casa Comunale n. 1"
"ABRUZZO","Pescara","Via della Posta"
"ABRUZZO","Sulmona","Via del Comune"
"ABRUZZO","Teramo","Via del Porticato"
"BASILICATA","Matera","Viale Aldo Moro-Casa comunale n. 32"
"BASILICATA","Potenza","Via del Municipio antico"
"CALABRIA","Catanzaro","Via Comune Catanzaro (civico 1 per i senza tetto, civico 2 per i senza fissa dimora)"
"CALABRIA","Cosenza","Via Dell'Accoglienza"
"CALABRIA","Reggio Calabria","Via Filemon"
"CALABRIA","Rossano","Via della Casa Comunale"
"CALABRIA","Vibo Valentia","Piazza martiri d'Ungheria"
"CAMPANIA","Avellino","Via della Casa Comunale"
"CAMPANIA","Aversa","Via dell'Accoglienza"
"CAMPANIA","Caserta","Via Ulisse (con numeri civici diversi in base ai diversi uffici anagrafici della città)"
"CAMPANIA","Castellammare di Stabia","Via della Casa Comunale"
"CAMPANIA","Giugliano in Campania","non hanno via fittizia, se ci sono casi di persone senza dimora danno la residenza nell'indirizzo del Comune: Corso campano 200"
"CAMPANIA","Napoli","Via Alfredo Renzi"
"CAMPANIA","Salerno","Via dei Senza Fissa Dimora"
"CAMPANIA","Torre del Greco","Via della Casa Comunale"
"CAMPANIA","Grumo Nevano (NA)","Via degli Olmi"
"EMILIA ROMAGNA","Berceto (PR)","Via della Luna"
"EMILIA ROMAGNA","Bologna","Via Mariano Tuccella"
"EMILIA ROMAGNA","Cesena","Via delle Stelle"
"EMILIA ROMAGNA","Cesenatico","Viene data la residenza nella via in cui dichiarano il domicilio (di solito: fonazione nuova famiglia Caritas)"
"EMILIA ROMAGNA","Faenza","Via ignota dimora"
"EMILIA ROMAGNA","Ferrara","Via Ferrara"
"EMILIA ROMAGNA","Forlì","Via del Domicilio (36 persone iscritte)"
"EMILIA ROMAGNA","Imola","Via senza fissa dimora n.  "
"EMILIA ROMAGNA","Modena","Via Galaverna n.8 (indirizzo del comune)"
"EMILIA ROMAGNA","Parma","Largo Ercole e Anteo"
"EMILIA ROMAGNA","Piacenza","Via XXVII ottobre"
"EMILIA ROMAGNA","Ravenna","Via dell'anagrafe"
"EMILIA ROMAGNA","Reggio Emilia","Via Prampolini 1 (indirizzo del comune)"
"EMILIA ROMAGNA","Rimini","Via Comune di Rimini"
"FRIULI VENEZIA GIULIA","Castrovillari","Via della Solidarietà"
"FRIULI VENEZIA GIULIA","Pordenone","Via del Comune"
"FRIULI VENEZIA GIULIA","Trieste","Via della Casa Comunale n.1 (per senza fissa dimora per motivi di etnia e lavoro, es. marinai, giostrai, rom) e n.2 (per le altre persone)"
"FRIULI VENEZIA GIULIA","Udine","Via della Casa Comunale n. 1 "
"LAZIO","Formia","Via delle Stelle"
"LAZIO","Frosinone","Via della casa comunale"
"LAZIO","Grosseto","Via della Solidarietà (24/03/2015 delibera del giunta municipale)"
"LAZIO","Lanuvio","Via del Tramonto"
"LAZIO","Latina","Via della Solidarietà"
"LAZIO","Rieti","Piazza del Municipio"
"LAZIO","Roma","Via Modesta Valenti, in distinti numeri civici attestanti ognuno i vari Municipi di Roma"
"LAZIO","Viterbo","Strada della Fantasia"
"LIGURIA","Alassio (SV)","Via della Casa Comunale"
"LIGURIA","Albisola Superiore (SV)","Via della Casa Comunale"
"LIGURIA","Arcola (SP)","Via Senza Fissa Dimora"
"LIGURIA","Arenzano (GE)","Via della Casa Comunale, 0"
"LIGURIA","Camporosso (IM)","Via Camporosso"
"LIGURIA","Carcare (SV)","Via del Comune"
"LIGURIA","Casarza Ligure (GE)","Via della Casa Comunale, 1"
"LIGURIA","Castelnuovo Magra (SP)","Via Cafaggio, 1"
"LIGURIA","Chiavari (GE)","Via della Casa"
"LIGURIA","Cogoleto (GE)","Via Cogoleto, 1"
"LIGURIA","Genova","Via alla Casa Comunale 1 (Via fittizia vera e propria, dove non si riceve la posta) Via di Francia 3 (persone in carico ai servizi sociali) Via di Mascherona 19 (persone in carico ai servizi sociali)"
"LIGURIA","Imperia","Via del Palazzo Comunale "
"LIGURIA","Imperia","Largo Comunale"
"LIGURIA","La Spezia","Via dell'Amicizia (per i vecchi iscritti) oppure Via Fiume 207 (per chi è in carico ai servizi sociali)"
"LIGURIA","Pietra Ligure (SV)","Via della Casa Comunale"
"LIGURIA","Roccavignale (SV)","Via Alla Casa Comunale"
"LIGURIA","Sanremo (IM)","Via del Palazzo Comunale "
"LIGURIA","Sarzana (SP)","Via Senza "
"LIGURIA","Savona","Via Mistrangelo 1/1 bis"
"LIGURIA","Sestri Levante (GE)","Via della Casa Comunale"
"LIGURIA","Vado Ligure (SV)","Via del Comune n. 5"
"LIGURIA","Varazze (SV)","Via della Casa Comunale"
"LOMBARDIA","Bergamo","Via Madre Teresa di Calcutta"
